
INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (0, 0, 1, -17, -3);
INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (60, 39, 4, 7, 11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (61, 40, 4, -4, -1);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (62, 41, 1, 1, 17);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (63, 42, 1, -1, 17);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (64, 41, 3, -9, -5);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (65, 42, 3, -2, -2);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (66, 38, 4, -6, -4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (67, 37, 4, -6, -6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (68, 44, 1, -9, 10);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (69, 43, 1, 4, 14);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (70, 43, 3, 31, 11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (71, 47, 3, 0, 15);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (72, 48, 4, 2, -9);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (73, 49, 1, 0, 4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (74, 50, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (75, 49, 3, 0, -7);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (76, 50, 3, -3, 4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (77, 51, 4, -16, 13);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (78, 52, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (79, 53, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (80, 49, 4, -5, 18);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (81, 50, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (82, 51, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (83, 51, 3, 0, -4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (84, 55, 1, 4, 46);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (85, 55, 4, -7, 5);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (86, 56, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (87, 57, 4, -3, 3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (88, 57, 1, 5, 17);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (89, 59, 1, -8, 19);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (90, 60, 1, 0, 7);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (91, 61, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (92, 54, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (93, 61, 3, 1, 3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (94, 55, 3, 0, 4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (95, 57, 3, -7, 2);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (96, 60, 3, -5, 6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (97, 54, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (98, 60, 4, 0, -2);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (99, 61, 4, -1, 3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (100, 59, 4, 2, -11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (101, 63, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (102, 64, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (103, 65, 1, 0, 6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (104, 66, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (105, 67, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (106, 68, 3, 0, 3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (107, 67, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (108, 69, 3, -5, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (109, 70, 3, 0, 1);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (110, 66, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (111, 64, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (112, 71, 3, 4, 6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (113, 72, 3, 2, 8);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (114, 72, 3, 12, 37);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (115, 73, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (116, 74, 1, 23, 33);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (117, 75, 1, 3, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (118, 76, 4, 43, 11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (119, 77, 1, 28, 8);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (120, 75, 3, 24, -7);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (121, 75, 4, 2, -1);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (122, 77, 4, 3, 8);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (123, 79, 1, 3, 20);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (124, 80, 1, 1, 19);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (125, 81, 1, 5, 26);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (126, 82, 1, -21, 15);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (127, 83, 1, 0, 5);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (128, 84, 3, -50, 14);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (129, 78, 1, -1, 11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (130, 0, 3, 1, -5);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (131, 2, 3, 1, 11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (132, 85, 1, 4, 22);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (133, 86, 1, 9, 31);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (134, 87, 1, -19, 14);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (135, 88, 1, -7, 4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (136, 89, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (137, 90, 1, -3, 14);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (138, 91, 1, 0, 4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (139, 92, 1, 11, 11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (140, 93, 1, -1, 14);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (141, 94, 1, -4, 6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (142, 95, 3, -1, -14);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (143, 96, 1, 1, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (144, 96, 3, -10, 18);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (145, 97, 1, 11, -13);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (146, 5, 3, -5, 8);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (147, 98, 1, -4, 8);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (148, 27, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (149, 99, 1, -14, 19);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (150, 100, 1, 19, 3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (151, 101, 1, 9, 15);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (152, 102, 1, 0, 2);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (153, 103, 1, -4, 11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (154, 104, 1, -7, 11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (155, 105, 1, -3, 16);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (156, 106, 1, -32, 6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (157, 107, 1, 26, 24);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (158, 108, 1, 6, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (159, 109, 1, -5, 12);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (160, 110, 1, 25, 18);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (161, 111, 1, 5, 60);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (162, 113, 1, 1, 45);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (163, 114, 1, -10, 15);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (164, 115, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (165, 116, 1, 26, 11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (166, 117, 1, 40, 18);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (167, 118, 1, 24, -1);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (168, 119, 3, 0, 9);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (169, 120, 3, -20, 10);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (170, 121, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (171, 122, 3, 22, 28);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (172, 123, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (173, 124, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (174, 125, 3, 0, 3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (175, 126, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (176, 127, 3, 0, -8);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (177, 128, 2, 9, -11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (178, 0, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (179, 129, 2, -3, 17);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (180, 130, 1, 8, -2);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (181, 131, 1, 1, 12);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (182, 130, 4, 26, 2);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (183, 79, 4, -1, 1);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (184, 82, 3, -22, 12);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (185, 133, 3, -20, 15);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (186, 132, 3, -13, 10);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (187, 134, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (188, 2, 4, 0, 5);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (189, 1, 1, 0, 34);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (190, 135, 2, -3, -4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (191, 137, 2, 0, -3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (192, 138, 2, 0, 5);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (193, 139, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (194, 140, 3, -38, -10);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (195, 141, 1, 0, 15);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (196, 142, 3, -9, 10);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (197, 143, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (198, 144, 3, 0, -4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (199, 145, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (200, 147, 3, -10, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (201, 146, 3, 2, 15);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (202, 93, 3, -5, 14);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (203, 87, 3, 6, -4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (204, 11, 3, 13, -3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (205, 148, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (206, 149, 1, -12, 26);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (207, 150, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (208, 151, 1, 9, 19);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (209, 152, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (210, 153, 1, -15, 11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (211, 154, 1, -12, 14);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (212, 155, 1, -6, -4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (213, 156, 1, -1, -10);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (214, 163, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (215, 162, 1, -10, 11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (216, 161, 1, -8, 8);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (217, 160, 3, -18, 11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (218, 159, 3, -13, 9);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (219, 158, 1, -23, 16);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (220, 157, 3, -10, 9);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (221, 164, 1, 2, 1);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (222, 165, 1, 1, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (223, 166, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (224, 167, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (225, 168, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (226, 169, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (227, 170, 1, -25, -3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (228, 171, 1, 11, 18);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (229, 172, 3, -10, 10);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (230, 173, 2, -6, -36);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (231, 174, 2, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (232, 175, 3, 0, -13);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (233, 176, 2, 2, 3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (234, 177, 3, -8, 1);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (235, 178, 3, -3, 8);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (236, 178, 1, 1, 13);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (237, 174, 1, 0, -2);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (238, 177, 1, 20, 5);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (239, 179, 1, 4, 11);

